[[ 3, 5, 9, 17, 13, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 35 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 35 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 3, 9, 9, 25, 23, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + x + y^2 + y]
[[ 3, 9, 9, 25, 23, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 3, 9, 9, 25, 23, 75 ],'<2, 1>',x^14 + x^12 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 3, 9, 9, 25, 23, 75 ],'<2, 1>',x^14 + x^11 + x^9 + x^6*y + x^3*y + y^2 + y + 1]
[[ 3, 9, 9, 25, 23, 75 ],'<2, 1>',x^13 + x^10 + x^9 + x^6*y + x*y + y^2 + y + 1]
[[ 3, 5, 9, 17, 53, 83 ],'<2, 1>',x^13 + x^8 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y]
[[ 3, 5, 9, 17, 53, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 3, 9, 9, 25, 23, 51 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 25, 23, 51 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4 + x^3*y + x + y^2 + y]
[[ 3, 5, 9, 17, 33, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 5, 9, 17, 33, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 83 ],'<2, 1>',x^14 + x^10 + x^8 + x^6*y + x^3*y + y^2 + y]
[[ 3, 5, 9, 17, 33, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 3, 5, 9, 17, 13, 83 ],'<2, 1>',x^14 + x^12 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 3, 5, 9, 17, 13, 83 ],'<2, 1>',x^14 + x^11 + x^10 + x^6*y + x^3*y + y^2 + y]
[[ 5, 5, 11, 33, 35, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y]
[[ 5, 5, 11, 17, 15, 59 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 5, 5, 11, 17, 15, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y]
[[ 5, 5, 11, 17, 15, 59 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3*y + x^3 + y^2 + y]
[[ 1, 5, 7, 17, 51, 59 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 5, 7, 17, 51, 59 ],'<2, 1>',x^14 + x^11 + x^10 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 1, 5, 7, 17, 51, 59 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 75 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 1, 9, 7, 25, 41, 75 ],'<2, 1>',x^14 + x^12 + x^10 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 1, 9, 7, 25, 41, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 1, 9, 7, 25, 41, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x*y + y^2 + y + 1]
[[ 1, 5, 7, 17, 31, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 1, 5, 7, 17, 31, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 5, 9, 11, 25, 25, 75 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 5, 9, 11, 25, 25, 75 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 9, 11, 25, 25, 75 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^2 + x*y + y^2 + y]
[[ 1, 5, 7, 17, 31, 59 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 1, 5, 7, 17, 31, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^5 + x^3*y + x^2 + y^2 + y + 1]
[[ 1, 5, 7, 17, 31, 59 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^3 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 25, 45, 75 ],'<2, 1>',x^14 + x^12 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 9, 11, 25, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 5, 9, 11, 25, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4 + x^3*y + x^3 + y^2 + y]
[[ 5, 5, 11, 17, 35, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 5, 11, 17, 35, 83 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^6*y + x^5 + x^4 + x^3*y + y^2 + y]
[[ 5, 9, 11, 25, 45, 51 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y]
