[[2], [3, 5], [4], [6, 7]]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 18, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 18, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 18, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 18, 51]
[10, 5, 40, 7, 16, 8, 43, 50, 18, 51, 53]
[10, 5, 40, 7, 16, 8, 43, 50, 18, 51, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 18, 53]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 18, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 18, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 52, 18, 51, 53]
[10, 5, 40, 7, 16, 8, 43, 52, 18, 51, 54]
[10, 5, 40, 7, 16, 8, 43, 18, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 52, 18, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 18, 44, 51]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 18, 44]
[10, 5, 40, 7, 16, 49, 8, 50, 18, 44, 53]
[10, 5, 40, 7, 16, 49, 8, 50, 18, 44, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 18, 44, 51]
[10, 5, 40, 7, 16, 49, 8, 18, 44, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 18, 44, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 18, 44, 53]
[10, 5, 40, 7, 16, 49, 8, 52, 18, 44, 54]
[10, 5, 40, 7, 16, 49, 8, 18, 44, 53, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 18, 44, 51]
[10, 5, 40, 7, 16, 8, 50, 18, 44, 51, 53]
[10, 5, 40, 7, 16, 8, 50, 18, 44, 51, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 18, 44, 53]
[10, 5, 40, 7, 16, 8, 50, 52, 18, 44, 54]
[10, 5, 40, 7, 16, 8, 50, 18, 44, 53, 54]
[10, 5, 40, 7, 16, 8, 52, 18, 44, 51, 53]
[10, 5, 40, 7, 16, 8, 52, 18, 44, 51, 54]
[10, 5, 40, 7, 16, 8, 18, 44, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 52, 18, 44, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 18, 51]
[10, 5, 40, 7, 16, 49, 8, 50, 18, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 50, 18, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 18, 53]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 18, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 18, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 18, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 52, 18, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 18, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 18, 53, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 18, 51, 53]
[10, 5, 40, 7, 16, 8, 50, 52, 18, 51, 54]
[10, 5, 40, 7, 16, 8, 50, 18, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 18, 53, 54]
[10, 5, 40, 7, 16, 8, 52, 18, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 18, 44]
[10, 5, 7, 16, 42, 49, 8, 43, 18, 44, 51]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 18, 44]
[10, 5, 7, 16, 42, 49, 8, 43, 18, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 18, 44, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 18, 44, 51]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 18, 44]
[10, 5, 7, 16, 42, 8, 43, 50, 18, 44, 53]
[10, 5, 7, 16, 42, 8, 43, 50, 18, 44, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 18, 44, 51]
[10, 5, 7, 16, 42, 8, 43, 18, 44, 51, 53]
[10, 5, 7, 16, 42, 8, 43, 18, 44, 51, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 18, 44, 53]
[10, 5, 7, 16, 42, 8, 43, 52, 18, 44, 54]
[10, 5, 7, 16, 42, 8, 43, 18, 44, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 18, 51]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 52, 18]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 18, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 18, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 18, 51]
[10, 5, 7, 16, 42, 49, 8, 43, 18, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 18, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 18, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 18, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 18, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 18, 51]
[10, 5, 7, 16, 42, 8, 43, 50, 18, 51, 53]
[10, 5, 7, 16, 42, 8, 43, 50, 18, 51, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 18, 53]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 18, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 18, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 18, 51, 53]
[10, 5, 7, 16, 42, 8, 43, 52, 18, 51, 54]
[10, 5, 7, 16, 42, 8, 43, 18, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 18, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 18, 44, 51]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 18, 44]
[10, 5, 7, 16, 42, 49, 8, 50, 18, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 18, 44, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 18, 44, 51]
[10, 5, 7, 16, 42, 49, 8, 18, 44, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 18, 44, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 18, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 52, 18, 44, 54]
[10, 5, 7, 16, 42, 49, 8, 18, 44, 53, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 18, 44, 51]
[10, 5, 7, 16, 42, 8, 50, 18, 44, 51, 53]
[10, 5, 7, 16, 42, 8, 50, 18, 44, 51, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 18, 44, 53]
[10, 5, 7, 16, 42, 8, 50, 52, 18, 44, 54]
[10, 5, 7, 16, 42, 8, 50, 18, 44, 53, 54]
[10, 5, 7, 16, 42, 8, 52, 18, 44, 51, 53]
[10, 5, 7, 16, 42, 8, 52, 18, 44, 51, 54]
[10, 5, 7, 16, 42, 8, 18, 44, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 52, 18, 44, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 18, 51]
[10, 5, 7, 16, 42, 49, 8, 50, 18, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 18, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 18, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 18, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 18, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 18, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 52, 18, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 18, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 18, 53, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 18, 51, 53]
[10, 5, 7, 16, 42, 8, 50, 52, 18, 51, 54]
[10, 5, 7, 16, 42, 8, 50, 18, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 18, 53, 54]
[10, 5, 7, 16, 42, 8, 52, 18, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 18, 44, 51]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 18, 44]
[10, 5, 7, 16, 49, 8, 43, 50, 18, 44, 53]
[10, 5, 7, 16, 49, 8, 43, 50, 18, 44, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 18, 44, 51]
[10, 5, 7, 16, 49, 8, 43, 18, 44, 51, 53]
[10, 5, 7, 16, 49, 8, 43, 18, 44, 51, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 18, 44, 53]
[10, 5, 7, 16, 49, 8, 43, 52, 18, 44, 54]
[10, 5, 7, 16, 49, 8, 43, 18, 44, 53, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 18, 44, 51]
[10, 5, 7, 16, 8, 43, 50, 18, 44, 51, 53]
[10, 5, 7, 16, 8, 43, 50, 18, 44, 51, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 18, 44, 53]
[10, 5, 7, 16, 8, 43, 50, 52, 18, 44, 54]
[10, 5, 7, 16, 8, 43, 50, 18, 44, 53, 54]
[10, 5, 7, 16, 8, 43, 52, 18, 44, 51, 53]
[10, 5, 7, 16, 8, 43, 52, 18, 44, 51, 54]
[10, 5, 7, 16, 8, 43, 18, 44, 51, 53, 54]
[10, 5, 7, 16, 8, 43, 52, 18, 44, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 18, 51]
[10, 5, 7, 16, 49, 8, 43, 50, 18, 51, 53]
[10, 5, 7, 16, 49, 8, 43, 50, 18, 51, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 18, 53]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 18, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 18, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 18, 51, 53]
[10, 5, 7, 16, 49, 8, 43, 52, 18, 51, 54]
[10, 5, 7, 16, 49, 8, 43, 18, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 18, 53, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 18, 51, 53]
[10, 5, 7, 16, 8, 43, 50, 52, 18, 51, 54]
[10, 5, 7, 16, 8, 43, 50, 18, 51, 53, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 18, 53, 54]
[10, 5, 7, 16, 8, 43, 52, 18, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 18, 44, 51]
[10, 5, 7, 16, 49, 8, 50, 18, 44, 51, 53]
[10, 5, 7, 16, 49, 8, 50, 18, 44, 51, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 18, 44, 53]
[10, 5, 7, 16, 49, 8, 50, 52, 18, 44, 54]
[10, 5, 7, 16, 49, 8, 50, 18, 44, 53, 54]
[10, 5, 7, 16, 49, 8, 52, 18, 44, 51, 53]
[10, 5, 7, 16, 49, 8, 52, 18, 44, 51, 54]
[10, 5, 7, 16, 49, 8, 18, 44, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 52, 18, 44, 53, 54]
[10, 5, 7, 16, 8, 50, 52, 18, 44, 51, 53]
[10, 5, 7, 16, 8, 50, 52, 18, 44, 51, 54]
[10, 5, 7, 16, 8, 50, 18, 44, 51, 53, 54]
[10, 5, 7, 16, 8, 50, 52, 18, 44, 53, 54]
[10, 5, 7, 16, 8, 52, 18, 44, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 18, 51, 53]
[10, 5, 7, 16, 49, 8, 50, 52, 18, 51, 54]
[10, 5, 7, 16, 49, 8, 50, 18, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 18, 53, 54]
[10, 5, 7, 16, 49, 8, 52, 18, 51, 53, 54]
[10, 5, 7, 16, 8, 50, 52, 18, 51, 53, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 50, 44]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 44, 51]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 52, 44]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 44, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 44, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 44, 51]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 52, 44]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 44, 53]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 44, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 52, 44, 51]
[10, 5, 40, 7, 16, 42, 8, 43, 44, 51, 53]
[10, 5, 40, 7, 16, 42, 8, 43, 44, 51, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 52, 44, 53]
[10, 5, 40, 7, 16, 42, 8, 43, 52, 44, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 44, 53, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 50, 51]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 50, 52]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 50, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 50, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 52, 51]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 51, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 51, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 52, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 52, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 52, 51]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 51, 53]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 51, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 52, 53]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 52, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 50, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 52, 51, 53]
[10, 5, 40, 7, 16, 42, 8, 43, 52, 51, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 51, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 43, 52, 53, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 44, 51]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 52, 44]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 44, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 44, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 44, 51]
[10, 5, 40, 7, 16, 42, 49, 8, 44, 51, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 44, 51, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 44, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 44, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 44, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 50, 52, 44, 51]
[10, 5, 40, 7, 16, 42, 8, 50, 44, 51, 53]
[10, 5, 40, 7, 16, 42, 8, 50, 44, 51, 54]
[10, 5, 40, 7, 16, 42, 8, 50, 52, 44, 53]
[10, 5, 40, 7, 16, 42, 8, 50, 52, 44, 54]
[10, 5, 40, 7, 16, 42, 8, 50, 44, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 52, 44, 51, 53]
[10, 5, 40, 7, 16, 42, 8, 52, 44, 51, 54]
[10, 5, 40, 7, 16, 42, 8, 44, 51, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 52, 44, 53, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 52, 51]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 51, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 51, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 52, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 52, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 50, 53, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 51, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 51, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 51, 53, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 50, 52, 51, 53]
[10, 5, 40, 7, 16, 42, 8, 50, 52, 51, 54]
[10, 5, 40, 7, 16, 42, 8, 50, 51, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 50, 52, 53, 54]
[10, 5, 40, 7, 16, 42, 8, 52, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 44, 51]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 52, 44]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 44, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 44, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 44, 51]
[10, 5, 40, 7, 16, 49, 8, 43, 44, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 44, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 44, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 44, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 44, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 44, 51]
[10, 5, 40, 7, 16, 8, 43, 50, 44, 51, 53]
[10, 5, 40, 7, 16, 8, 43, 50, 44, 51, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 44, 53]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 44, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 44, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 52, 44, 51, 53]
[10, 5, 40, 7, 16, 8, 43, 52, 44, 51, 54]
[10, 5, 40, 7, 16, 8, 43, 44, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 52, 44, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 52, 51]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 52, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 52, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 52, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 51, 53]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 51, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 50, 52, 53, 54]
[10, 5, 40, 7, 16, 8, 43, 52, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 44, 51]
[10, 5, 40, 7, 16, 49, 8, 50, 44, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 50, 44, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 44, 53]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 44, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 44, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 44, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 52, 44, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 44, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 44, 53, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 44, 51, 53]
[10, 5, 40, 7, 16, 8, 50, 52, 44, 51, 54]
[10, 5, 40, 7, 16, 8, 50, 44, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 44, 53, 54]
[10, 5, 40, 7, 16, 8, 52, 44, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 51, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 50, 52, 53, 54]
[10, 5, 40, 7, 16, 49, 8, 52, 51, 53, 54]
[10, 5, 40, 7, 16, 8, 50, 52, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 44, 51]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 52, 44]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 44, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 44, 51]
[10, 5, 7, 16, 42, 49, 8, 43, 44, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 44, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 44, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 44, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 44, 51]
[10, 5, 7, 16, 42, 8, 43, 50, 44, 51, 53]
[10, 5, 7, 16, 42, 8, 43, 50, 44, 51, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 44, 53]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 44, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 44, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 44, 51, 53]
[10, 5, 7, 16, 42, 8, 43, 52, 44, 51, 54]
[10, 5, 7, 16, 42, 8, 43, 44, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 44, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 52, 51]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 52, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 52, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 50, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 43, 52, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 51, 53]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 51, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 53, 54]
[10, 5, 7, 16, 42, 8, 43, 52, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 44, 51]
[10, 5, 7, 16, 42, 49, 8, 50, 44, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 44, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 44, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 44, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 44, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 52, 44, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 44, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 44, 53, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 44, 51, 53]
[10, 5, 7, 16, 42, 8, 50, 52, 44, 51, 54]
[10, 5, 7, 16, 42, 8, 50, 44, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 44, 53, 54]
[10, 5, 7, 16, 42, 8, 52, 44, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 51, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 51, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 53, 54]
[10, 5, 7, 16, 42, 49, 8, 52, 51, 53, 54]
[10, 5, 7, 16, 42, 8, 50, 52, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 44, 51]
[10, 5, 7, 16, 49, 8, 43, 50, 44, 51, 53]
[10, 5, 7, 16, 49, 8, 43, 50, 44, 51, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 44, 53]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 44, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 44, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 44, 51, 53]
[10, 5, 7, 16, 49, 8, 43, 52, 44, 51, 54]
[10, 5, 7, 16, 49, 8, 43, 44, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 44, 53, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 44, 51, 53]
[10, 5, 7, 16, 8, 43, 50, 52, 44, 51, 54]
[10, 5, 7, 16, 8, 43, 50, 44, 51, 53, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 44, 53, 54]
[10, 5, 7, 16, 8, 43, 52, 44, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 51, 53]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 51, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 50, 52, 53, 54]
[10, 5, 7, 16, 49, 8, 43, 52, 51, 53, 54]
[10, 5, 7, 16, 8, 43, 50, 52, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 44, 51, 53]
[10, 5, 7, 16, 49, 8, 50, 52, 44, 51, 54]
[10, 5, 7, 16, 49, 8, 50, 44, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 44, 53, 54]
[10, 5, 7, 16, 49, 8, 52, 44, 51, 53, 54]
[10, 5, 7, 16, 8, 50, 52, 44, 51, 53, 54]
[10, 5, 7, 16, 49, 8, 50, 52, 51, 53, 54]
[10, 5, 40, 7, 42, 49, 8, 17, 43, 18, 44]
[10, 5, 40, 7, 42, 8, 17, 43, 50, 18, 44]
[10, 5, 40, 7, 42, 8, 17, 43, 18, 44, 51]
[10, 5, 40, 7, 42, 8, 17, 43, 52, 18, 44]
[10, 5, 40, 7, 42, 8, 17, 43, 18, 44, 53]
[10, 5, 40, 7, 42, 8, 17, 43, 18, 44, 54]
[10, 5, 40, 7, 42, 49, 8, 17, 43, 50, 18]
[10, 5, 40, 7, 42, 49, 8, 17, 43, 18, 51]
[10, 5, 40, 7, 42, 49, 8, 17, 43, 52, 18]
[10, 5, 40, 7, 42, 49, 8, 17, 43, 18, 53]
[10, 5, 40, 7, 42, 49, 8, 17, 43, 18, 54]
[10, 5, 40, 7, 42, 8, 17, 43, 50, 18, 51]
[10, 5, 40, 7, 42, 8, 17, 43, 50, 52, 18]
[10, 5, 40, 7, 42, 8, 17, 43, 50, 18, 53]
[10, 5, 40, 7, 42, 8, 17, 43, 50, 18, 54]
[10, 5, 40, 7, 42, 8, 17, 43, 52, 18, 51]
[10, 5, 40, 7, 42, 8, 17, 43, 18, 51, 53]
[10, 5, 40, 7, 42, 8, 17, 43, 18, 51, 54]
[10, 5, 40, 7, 42, 8, 17, 43, 52, 18, 53]
[10, 5, 40, 7, 42, 8, 17, 43, 52, 18, 54]
[10, 5, 40, 7, 42, 8, 17, 43, 18, 53, 54]
[10, 5, 40, 7, 42, 49, 8, 17, 50, 18, 44]
[10, 5, 40, 7, 42, 49, 8, 17, 18, 44, 51]
[10, 5, 40, 7, 42, 49, 8, 17, 52, 18, 44]
[10, 5, 40, 7, 42, 49, 8, 17, 18, 44, 53]
[10, 5, 40, 7, 42, 49, 8, 17, 18, 44, 54]
[10, 5, 40, 7, 42, 8, 17, 50, 18, 44, 51]
