[[2, 5], [3, 5], [4, 5], [6, 7]]
[1, 10, 40, 7, 42, 49, 17, 50, 52, 44, 51, 53]
[1, 10, 40, 7, 42, 49, 17, 50, 52, 44, 51, 54]
[1, 10, 40, 7, 42, 49, 17, 50, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 17, 50, 52, 44, 53, 54]
[1, 10, 40, 7, 42, 49, 17, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 17, 50, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 17, 50, 52, 51, 53, 54]
[1, 10, 40, 7, 49, 17, 43, 50, 52, 44, 51, 53]
[1, 10, 40, 7, 49, 17, 43, 50, 52, 44, 51, 54]
[1, 10, 40, 7, 49, 17, 43, 50, 44, 51, 53, 54]
[1, 10, 40, 7, 49, 17, 43, 50, 52, 44, 53, 54]
[1, 10, 40, 7, 49, 17, 43, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 17, 43, 50, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 49, 17, 43, 50, 52, 51, 53, 54]
[1, 10, 40, 7, 49, 17, 50, 52, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 17, 43, 50, 52, 44, 51, 53]
[1, 10, 7, 42, 49, 17, 43, 50, 52, 44, 51, 54]
[1, 10, 7, 42, 49, 17, 43, 50, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 17, 43, 50, 52, 44, 53, 54]
[1, 10, 7, 42, 49, 17, 43, 52, 44, 51, 53, 54]
[1, 10, 7, 42, 17, 43, 50, 52, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 17, 43, 50, 52, 51, 53, 54]
[1, 10, 7, 42, 49, 17, 50, 52, 44, 51, 53, 54]
[1, 10, 7, 49, 17, 43, 50, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 18, 44, 51]
[1, 10, 40, 7, 42, 49, 43, 50, 18, 44, 51, 53]
[1, 10, 40, 7, 42, 49, 43, 50, 18, 44, 51, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 18, 44, 53]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 18, 44, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 18, 44, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 52, 18, 44, 51, 53]
[1, 10, 40, 7, 42, 49, 43, 52, 18, 44, 51, 54]
[1, 10, 40, 7, 42, 49, 43, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 52, 18, 44, 53, 54]
[1, 10, 40, 7, 42, 43, 50, 52, 18, 44, 51, 53]
[1, 10, 40, 7, 42, 43, 50, 52, 18, 44, 51, 54]
[1, 10, 40, 7, 42, 43, 50, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 43, 50, 52, 18, 44, 53, 54]
[1, 10, 40, 7, 42, 43, 52, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 18, 51, 53]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 18, 51, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 18, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 18, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 52, 18, 51, 53, 54]
[1, 10, 40, 7, 42, 43, 50, 52, 18, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 50, 52, 18, 44, 51, 53]
[1, 10, 40, 7, 42, 49, 50, 52, 18, 44, 51, 54]
[1, 10, 40, 7, 42, 49, 50, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 50, 52, 18, 44, 53, 54]
[1, 10, 40, 7, 42, 49, 52, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 50, 52, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 50, 52, 18, 51, 53, 54]
[1, 10, 40, 7, 49, 43, 50, 52, 18, 44, 51, 53]
[1, 10, 40, 7, 49, 43, 50, 52, 18, 44, 51, 54]
[1, 10, 40, 7, 49, 43, 50, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 49, 43, 50, 52, 18, 44, 53, 54]
[1, 10, 40, 7, 49, 43, 52, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 43, 50, 52, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 49, 43, 50, 52, 18, 51, 53, 54]
[1, 10, 40, 7, 49, 50, 52, 18, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 43, 50, 52, 18, 44, 51, 53]
[1, 10, 7, 42, 49, 43, 50, 52, 18, 44, 51, 54]
[1, 10, 7, 42, 49, 43, 50, 18, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 43, 50, 52, 18, 44, 53, 54]
[1, 10, 7, 42, 49, 43, 52, 18, 44, 51, 53, 54]
[1, 10, 7, 42, 43, 50, 52, 18, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 43, 50, 52, 18, 51, 53, 54]
[1, 10, 7, 42, 49, 50, 52, 18, 44, 51, 53, 54]
[1, 10, 7, 49, 43, 50, 52, 18, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 44, 51, 53]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 44, 51, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 44, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 43, 50, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 43, 50, 52, 51, 53, 54]
[1, 10, 40, 7, 42, 49, 50, 52, 44, 51, 53, 54]
[1, 10, 40, 7, 49, 43, 50, 52, 44, 51, 53, 54]
[1, 10, 7, 42, 49, 43, 50, 52, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 18, 44]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 18, 44, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 18, 44]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 18, 44, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 18, 44, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 18, 44, 51]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 18, 44]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 18, 44, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 18, 44, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 18, 44, 51]
[1, 14, 40, 7, 16, 42, 17, 43, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 18, 44, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 18, 44, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 18, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 18]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 18, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 18, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 18, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 18, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 18, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 18, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 18, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 18, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 18, 51]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 18, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 18, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 18, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 18, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 18, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 18, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 18, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 18, 44, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 18, 44]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 18, 44, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 18, 44, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 44, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 44, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 44, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 18, 44, 51]
[1, 14, 40, 7, 16, 42, 17, 50, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 50, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 18, 44, 53]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 18, 44, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 52, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 52, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 18, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 52, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 18, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 18, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 18, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 18, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 18, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 18, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 18, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 18, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 52, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 18, 44, 51]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 18, 44]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 18, 44, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 18, 44, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 18, 44, 51]
[1, 14, 40, 7, 16, 49, 17, 43, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 18, 44, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 18, 44, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 44, 51]
[1, 14, 40, 7, 16, 17, 43, 50, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 17, 43, 50, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 44, 53]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 44, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 52, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 17, 43, 52, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 17, 43, 18, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 52, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 18, 51]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 18, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 18, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 18, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 18, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 18, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 18, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 18, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 51, 53]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 51, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 52, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 18, 44, 51]
[1, 14, 40, 7, 16, 49, 17, 50, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 50, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 18, 44, 53]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 18, 44, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 52, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 52, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 18, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 52, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 17, 50, 52, 18, 44, 51, 53]
[1, 14, 40, 7, 16, 17, 50, 52, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 17, 50, 18, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 50, 52, 18, 44, 53, 54]
[1, 14, 40, 7, 16, 17, 52, 18, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 18, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 18, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 52, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 50, 52, 18, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 18, 44, 51]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 52, 18, 44]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 18, 44, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 18, 44, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 52, 18, 44, 51]
[1, 14, 7, 16, 42, 49, 17, 43, 18, 44, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 18, 44, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 52, 18, 44, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 52, 18, 44, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 18, 44, 53, 54]
[1, 14, 7, 16, 42, 17, 43, 50, 52, 18, 44, 51]
[1, 14, 7, 16, 42, 17, 43, 50, 18, 44, 51, 53]
[1, 14, 7, 16, 42, 17, 43, 50, 18, 44, 51, 54]
[1, 14, 7, 16, 42, 17, 43, 50, 52, 18, 44, 53]
[1, 14, 7, 16, 42, 17, 43, 50, 52, 18, 44, 54]
[1, 14, 7, 16, 42, 17, 43, 50, 18, 44, 53, 54]
[1, 14, 7, 16, 42, 17, 43, 52, 18, 44, 51, 53]
[1, 14, 7, 16, 42, 17, 43, 52, 18, 44, 51, 54]
[1, 14, 7, 16, 42, 17, 43, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 42, 17, 43, 52, 18, 44, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 52, 18, 51]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 18, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 18, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 52, 18, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 52, 18, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 18, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 52, 18, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 52, 18, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 18, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 52, 18, 53, 54]
[1, 14, 7, 16, 42, 17, 43, 50, 52, 18, 51, 53]
[1, 14, 7, 16, 42, 17, 43, 50, 52, 18, 51, 54]
[1, 14, 7, 16, 42, 17, 43, 50, 18, 51, 53, 54]
[1, 14, 7, 16, 42, 17, 43, 50, 52, 18, 53, 54]
[1, 14, 7, 16, 42, 17, 43, 52, 18, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 50, 52, 18, 44, 51]
[1, 14, 7, 16, 42, 49, 17, 50, 18, 44, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 50, 18, 44, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 50, 52, 18, 44, 53]
[1, 14, 7, 16, 42, 49, 17, 50, 52, 18, 44, 54]
[1, 14, 7, 16, 42, 49, 17, 50, 18, 44, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 52, 18, 44, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 52, 18, 44, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 52, 18, 44, 53, 54]
[1, 14, 7, 16, 42, 17, 50, 52, 18, 44, 51, 53]
[1, 14, 7, 16, 42, 17, 50, 52, 18, 44, 51, 54]
[1, 14, 7, 16, 42, 17, 50, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 42, 17, 50, 52, 18, 44, 53, 54]
[1, 14, 7, 16, 42, 17, 52, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 50, 52, 18, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 50, 52, 18, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 50, 18, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 50, 52, 18, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 52, 18, 51, 53, 54]
[1, 14, 7, 16, 42, 17, 50, 52, 18, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 43, 50, 52, 18, 44, 51]
[1, 14, 7, 16, 49, 17, 43, 50, 18, 44, 51, 53]
[1, 14, 7, 16, 49, 17, 43, 50, 18, 44, 51, 54]
[1, 14, 7, 16, 49, 17, 43, 50, 52, 18, 44, 53]
[1, 14, 7, 16, 49, 17, 43, 50, 52, 18, 44, 54]
[1, 14, 7, 16, 49, 17, 43, 50, 18, 44, 53, 54]
[1, 14, 7, 16, 49, 17, 43, 52, 18, 44, 51, 53]
[1, 14, 7, 16, 49, 17, 43, 52, 18, 44, 51, 54]
[1, 14, 7, 16, 49, 17, 43, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 43, 52, 18, 44, 53, 54]
[1, 14, 7, 16, 17, 43, 50, 52, 18, 44, 51, 53]
[1, 14, 7, 16, 17, 43, 50, 52, 18, 44, 51, 54]
[1, 14, 7, 16, 17, 43, 50, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 17, 43, 50, 52, 18, 44, 53, 54]
[1, 14, 7, 16, 17, 43, 52, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 43, 50, 52, 18, 51, 53]
[1, 14, 7, 16, 49, 17, 43, 50, 52, 18, 51, 54]
[1, 14, 7, 16, 49, 17, 43, 50, 18, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 43, 50, 52, 18, 53, 54]
[1, 14, 7, 16, 49, 17, 43, 52, 18, 51, 53, 54]
[1, 14, 7, 16, 17, 43, 50, 52, 18, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 50, 52, 18, 44, 51, 53]
[1, 14, 7, 16, 49, 17, 50, 52, 18, 44, 51, 54]
[1, 14, 7, 16, 49, 17, 50, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 50, 52, 18, 44, 53, 54]
[1, 14, 7, 16, 49, 17, 52, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 17, 50, 52, 18, 44, 51, 53, 54]
[1, 14, 7, 16, 49, 17, 50, 52, 18, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 44, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 44]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 44, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 44, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 44, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 44, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 44, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 44, 51]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 44, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 44, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 50, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 43, 52, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 52, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 44, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 44, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 44, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 44, 51, 53]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 44, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 52, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 51, 53]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 51, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 53, 54]
[1, 14, 40, 7, 16, 42, 49, 17, 52, 51, 53, 54]
[1, 14, 40, 7, 16, 42, 17, 50, 52, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 44, 51]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 44, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 44, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 44, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 44, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 44, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 44, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 44, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 44, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 44, 51, 53]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 44, 51, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 44, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 52, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 50, 52, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 43, 52, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 43, 50, 52, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 44, 51, 53]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 44, 51, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 44, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 52, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 17, 50, 52, 44, 51, 53, 54]
[1, 14, 40, 7, 16, 49, 17, 50, 52, 51, 53, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 52, 44, 51]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 44, 51, 53]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 44, 51, 54]
[1, 14, 7, 16, 42, 49, 17, 43, 50, 52, 44, 53]
